              name               | num_files |        size_mib        | num_empty |  median_kib   |        avg_kib        | largest_mib | longst_path 
 t5kopiavm3-initial-kopia-cache  |        32 | 0.07056331634521484375 |         1 |  2.1181640625 |    2.2580261230468750 |           0 |         119
 t5kopiavm3-initial-kopia-target |        15 | 0.04471015930175781250 |         0 |             4 |    3.0522135416666667 |           0 |          66
 t5kopiavm3-x2a00-kopia-cache    |        54 |   197.2339324951171875 |         1 |             4 | 3740.1397569444444443 |          77 |         119
 t5kopiavm3-x2a00-kopia-target   |      2635 |     24900.914245605469 |         0 |             4 | 9676.8638282732447822 |          27 |          66
 t5kopiavm3-x2a4c-kopia-cache    |        90 |   267.0996379852294922 |         1 |             4 | 3039.0003255208333330 |          77 |         119
 t5kopiavm3-x2a4c-kopia-target   |      2722 |     25534.336868286133 |         0 |             4 | 9605.8636859386480527 |          27 |          66
 t5kopiavm3-x2aaf-kopia-cache    |       526 |   227.2218532562255859 |         1 |             4 |  442.3482466432984795 |          20 |         108
 t5kopiavm3-x2aaf-kopia-target   |      2831 |     26466.045533180237 |         0 |             4 | 9573.0238876639217588 |          27 |          66
 t5kopiavm3-x2af8-kopia-cache    |       541 |   251.7242078781127930 |         1 |             4 |  476.4613472591266172 |          20 |         108
 t5kopiavm3-x2af8-kopia-target   |      2899 |     26942.302706718445 |         0 |             4 | 9516.7016114797128320 |          27 |          66
 t5kopiavm3-x2b81-kopia-cache    |       611 |   359.0201168060302734 |         1 |             4 |  601.6965623721358428 |          20 |         108
 t5kopiavm3-x2b81-kopia-target   |      2968 |     27387.306461334229 |         0 |             4 | 9448.9898303255559297 |          27 |          66
 t5kopiavm3-x2bcb-kopia-cache    |       783 |   452.8060922622680664 |         1 |             4 |  592.1755280671296299 |          20 |         108
 t5kopiavm3-x2bcb-kopia-target   |      3020 |     27634.003617286682 |         0 |             4 | 9369.9402993713783115 |          27 |          66
 t5kopiavm3-x2c15-kopia-cache    |      1298 |   532.4458427429199219 |         1 |             4 |  420.0497249374036982 |          20 |         108
 t5kopiavm3-x2c15-kopia-target   |      3097 |     28027.962896347046 |         0 |             4 | 9267.2373283368986113 |          27 |          66
 t5kopiavm3-x2c80-kopia-cache    |      2025 |   645.1965208053588867 |         1 |             4 |  326.2623394097222227 |          20 |         108
 t5kopiavm3-x2c80-kopia-target   |      3163 |     28280.845894813538 |         0 |             4 | 9155.7338590860140693 |          27 |          66
 t5kopiavm3-x2ccb-kopia-cache    |      4570 |   794.9009799957275391 |         1 |   5.416015625 |  178.1134799815371992 |          20 |         108
 t5kopiavm3-x2ccb-kopia-target   |      3231 |     28526.441356658936 |         0 |             4 | 9040.8777311107242344 |          27 |          66
 t5kopiavm3-x2d17-kopia-cache    |      4794 |   872.8488016128540039 |         1 |   5.205078125 |  186.4407953382483311 |          20 |         108
